,Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Latitude1,Longitude1,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods,Distance
856902,San Francisco Waldorf School,Private,-2,8,PK-8,Independent / Private,IND323,3,13,IND,38684786907927.0,"2938 WASHINGTON ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.790783, -122.44191)",37.790783,-122.44191,12088,2938 WASHINGTON ST,San Francisco Waldorf School,WASHINGTON,SIDEWALK,2,4,,2015,12,37.790738,-122.441657,POINT (-122.44164 37.790733),102.0,8.0,6.0,30.0,7.0,,,102.0,0.00029799999998658677
857532,San Francisco Waldorf School,Private,-2,8,PK-8,Independent / Private,IND323,3,13,IND,38684786907927.0,"2938 WASHINGTON ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.790783, -122.44191)",37.790783,-122.44191,9577,2938 WASHINGTON ST,San Francisco Waldorf School,WASHINGTON,SIDEWALK,1,2,,2010,0,37.790778,-122.441897,POINT (-122.44189 37.79077),102.0,8.0,6.0,30.0,7.0,,,102.0,1.7999999990081506e-05
927414,San Francisco City Academy,Private,0,8,K-8,Independent / Private,IND313,5,13,IND,38684787095755.0,"230 JONES ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.783505, -122.412201)",37.783505,-122.412201,11762,240 JONES ST,Marlton Manor,JONES,SIDEWALK,1,2,,2015,6,37.783726,-122.412248,POINT (-122.41223 37.783722),20.0,5.0,10.0,36.0,18.0,6.0,1.0,20.0,0.0002680000000125915
947223,Kai Ming Head Start - Battery Center,Private,-2,-1,PK,Independent / Private,CDC059,3,4,CDC,384001838.0,"820 BATTERY ST, SAN FRANCISCO, CA 94111",3,6075,SAN FRANCISCO,"CA
(37.798973, -122.400581)",37.798973,-122.400581,11247,150 BROADWAY ST,For a Thinkspace,BROADWAY,SIDEWALK,2,4,,2015,10,37.798721,-122.400487,POINT (-122.400475 37.798717),77.0,6.0,3.0,8.0,22.0,,,77.0,0.00034600000000040154
956965,Saint Marys School,Private,0,8,K-8,Independent / Private,IND300,5,13,IND,38684786981997.0,"838 KEARNY STREET, SAN FRANCISCO, CA 94108",3,6075,SAN FRANCISCO,"CA
(37.795944, -122.404907)",37.795944,-122.404907,11200,919 KEARNY ST,House of Nanking,KEARNY,SIDEWALK,1,2,,2010,0,37.796434,-122.405371,POINT (-122.40536 37.79643),104.0,6.0,3.0,6.0,55.0,,,104.0,0.0009540000000072268
957229,Saint Marys School,Private,0,8,K-8,Independent / Private,IND300,5,13,IND,38684786981997.0,"838 KEARNY STREET, SAN FRANCISCO, CA 94108",3,6075,SAN FRANCISCO,"CA
(37.795944, -122.404907)",37.795944,-122.404907,11919,919 KEARNY ST,House of Nanking,KEARNY,SIDEWALK,1,2,,2006,0,37.796434,-122.405371,POINT (-122.40536 37.79643),104.0,6.0,3.0,6.0,55.0,,,104.0,0.0009540000000072268
963882,Rainbow Montessori Of San Francisco,Private,-2,-1,PK,Independent / Private,CDC126,3,4,CDC,380505779.0,"2354 24TH AVE, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.743538, -122.480759)",37.743538,-122.480759,11096,2345 24TH AVE,SFPD Taraval Station,24TH,SIDEWALK,2,4,,2015,1,37.743827,-122.481152,POINT (-122.48114 37.743824),40.0,10.0,7.0,35.0,31.0,,,40.0,0.0006819999999905235
973650,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,9085,1365 VALENCIA ST,Dutailier,VALENCIA,SIDEWALK,1,2,,0,0,37.75115,-122.420209,POINT (-122.4202 37.751144),53.0,3.0,2.0,20.0,87.0,,,53.0,0.00038200000000898626
973878,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,11519,1387 VALENCIA ST,Synergy School,VALENCIA,SIDEWALK,1,2,,2000,0,37.750869,-122.420187,POINT (-122.42017 37.750866),53.0,3.0,2.0,20.0,87.0,,,53.0,0.00015499999999946112
974856,Synergy Elementary School,Private,0,8,K-8,Independent / Private,IND331,5,13,IND,38684786905913.0,"1387 VALENCIA ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.750885, -122.420326)",37.750885,-122.420326,11251,1380 VALENCIA ST,Apartment,VALENCIA,SIDEWALK,1,2,,2000,0,37.750797,-122.420821,POINT (-122.42081 37.750793),53.0,3.0,5.0,20.0,176.0,,,53.0,0.00058299999999889
